% Model:              AxialGradingFinal.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 19 2014, 20:33
% Dimension:          2
% Nodes:              193
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
49.78994502272196         500                      5.9604644775390625E-8    9.685754776000977E-8     1.1372817696983924E-7    274999.99999999994
50                        500                      425205.451192379         2.322675171081569E-7     425205.451192379         275000
0                         500                      -3.91155481338501E-8     -2.7939677238464355E-9   3.9215205742842144E-8    275000
10.135156941778384        500                      -2.2351741790771484E-8   -1.4901161193847656E-8   2.6863450374185958E-8    275000.00000000023
52.000000000000014        500                      -1217668.369533062       -7268366.433195591       7369658.531123793        274999.99995392194
52.099999999999994        500                      8052244.379383087        -7841589.419299364       1.1239624734223748E7     275000
48.4274842033595          500                      1.1920928955078125E-7    -3.129243850708008E-7    3.348619498944913E-7     275000.00000000023
47.62742051036636         500                      -5.9604644775390625E-8   -2.384185791015625E-7    2.457562461863554E-7     275000.00000000023
46.61711081007104         500                      4.470348358154297E-8     -3.2782554626464844E-7   3.3085947202406106E-7    275000.00000000035
17.61627211020385         500                      4.470348358154297E-8     -2.9802322387695312E-8   5.3726900748371916E-8    275000.0000000003
45.45386532546052         500                      -1.4901161193847656E-8   -2.1606683731079102E-7   2.1658006092531433E-7    275000.00000000035
22.7643246729698          500                      3.050081431865692E-8     2.0954757928848267E-9    3.057271157257323E-8     275000.0000000002
44.16056253675666         500                      -1.4901161193847656E-7   -1.1175870895385742E-8   1.494301193962364E-7     275000.0000000002
24.523063422612616        500                      -7.450580596923828E-9    -2.9336661100387573E-8   3.026798367500305E-8     275000.0000000002
41.86224301546515         500                      -7.078051567077637E-8    -3.725290298461914E-8    7.998537478440958E-8     275000
40.84899062678769         500                      -2.9802322387695312E-8   -1.4901161193847656E-8   3.332000937312528E-8     274999.99999999994
39.80226294532            500                      4.0978193283081055E-8    -8.614733815193176E-9    4.187392940066865E-8     275000
27.6261672872591          500                      -1.4901161193847656E-8   -2.9802322387695312E-8   3.332000937312528E-8     275000.0000000001
30.66516355427671         500                      -3.4458935260772705E-8   -5.21540641784668E-8     6.2509716281853E-8       275000.00000000023
33.519168059819805        500                      4.470348358154297E-8     -3.213062882423401E-8    5.5052509052412674E-8    275000.0000000001
36.50252293554766         500                      -5.9604644775390625E-8   -3.725290298461914E-8    7.028863677424642E-8     274999.99999999994
146.91843841823777        500                      1004695.3345046733       140112.202983357         1014418.1310486848       146504.31118355403
150                       500                      976891.642760396         139833.9034089744        986848.9257417751        143451.1200335238
105.55555555555559        500                      889423.6370047331        274616.250394471         930853.6356718203        197724.53773152598
105.63505270276559        500                      1533913.056020908        131159.09384871647       1539510.3024438056       197602.54035064523
153.77722861587017        500                      946325.2293728776        139274.6372041646        956519.1395450386        139819.40739231702
459.0432020169631         500                      219131.83729342866       15294.931146254545       219664.96542316975       8493.690158726782
500                       500                      195728.19591355405       1.2275384222741077E-10   195728.19591355405       1.3581371854473197E-11
142.9605562645668         500                      1040296.6608000032       140851.33560871938       1049788.6650247262       150551.215869522
138.72846163689823        500                      1082809.873594949        141317.10142639652       1091992.5574427089       155043.49342511743
128.7319145865041         500                      1191441.5715781078       140951.85289503168       1199750.1587076595       166398.6015994035
133.06780916780167        500                      1142916.6730199568       140866.18325757398       1151564.936533135        161337.84352636826
125.71964374494709        500                      1229546.097164072        140578.17075403593       1237556.3935206963       170045.48514947377
122.79156877592158        500                      1266571.4212482907       139906.72191402316       1274275.109997697        173699.44966636912
135.8808418465339         500                      1111241.3674404286       141235.28379448282       1120180.6917186985       158167.33341094723
118.74514334927575        500                      1322230.4671894908       138619.41860811925       1329476.8713969386       178936.9462229811
118.61810229749133        500                      1323827.0366695914       138579.91320858523       1331060.6354942252       179105.03442218373
112.24931543590253        500                      1420804.9689901546       135803.78838448972       1427280.4310459432       187839.2768210643
114.41077271713465        500                      1386047.83080744         136903.11079043895       1392792.53696669         184805.8113734154
118.37462835352858        500                      1327445.8442986459       138449.91457078606       1334646.3383197822       179427.79235460912
109.98617514904882        500                      1457210.3837539777       134431.66089764424       1463398.091420142        191095.96268057052
158.28613485017794        500                      909931.1408608966        138077.2316700454        920347.7619976463        135634.9425508752
162.1704892915156         500                      881956.3268422196        136877.87685685977       892514.7145172799        132154.7610782662
166.3916688970893         500                      851509.319256247         135843.21615643415       862276.927765066         128496.12616212947
170.11775535082603        500                      827423.4680548385        134806.8908656027        838333.1636722639        125368.15812668236
174.09814562116955        500                      801334.2360604294        133511.68101427378       812380.407721536         122126.23274932813
181.8753960675199         500                      755916.0161526613        130356.04495296162       767073.4788349087        116070.67013977651
184.01182705743363        500                      743872.6396018099        129722.38962152228       755098.9354497079        114468.24681926088
186.85807702235505        500                      729078.6465573511        128408.58046023431       740300.2339603247        112372.2295952111
194.49967821075003        500                      689660.6144645195        125353.51211452275       700960.245765068         106952.11400863658
201.8134601789273         500                      656150.0952524096        122328.63216755306       667455.7975984107        102030.63095798282
206.43861041198934        500                      633477.7101547895        119966.1230486799        644737.0626404895        99042.2758859364
231.27275634537187        500                      542285.6108425763        110097.51273210533       553349.0273206434        84442.73693755285
233.82792216830273        500                      534248.8658347898        107399.33807547961       544937.123404903         83065.65716498635
236.48933876275478        500                      525095.3605817202        105423.54346082313       535573.7682339221        81656.68774692621
274.18991792760494        500                      425031.5680091535        88658.36753270583        434179.8474571154        63746.52000292808
324.72625196069635        500                      335912.2350802396        64364.63791282225        342023.1516875003        44518.614114545635
356.33462124064414        500                      300607.39189877594       49161.10872429202        304600.7529130319        34497.79594515307
300.2579951250597         500                      378372.7736482059        76530.1213253988         386034.73329263617       53265.93417953899
401.58659520447264        500                      251391.35996017954       32931.94238205314        253539.2054331705        21992.080349293494
105.40023606828592        500                      891303.7541359849        274452.74951513857       932602.1090761696        197862.82977659735
50.04286123173518         500                      459571.74262690544       -31033.074881196022      460618.3217781426        274981.910042958
102.36841007015653        500                      928188.1924596801        270722.92411601543       966863.0835146692        200621.014714125
100.53371675713217        500                      952040.7649426796        268315.9708197266        989128.4437875472        202345.8746683268
99.60307499303619         500                      963994.7985780984        266977.62595128454       1000281.4726086915       203237.44602677965
96.31721851097237         500                      1009471.3711053357       262139.80515447631       1042952.4085631679       206479.57456901763
