% Model:              RadialGradingFinal.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 19 2014, 20:25
% Dimension:          2
% Nodes:              205
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
48.83968173131915         2121.5                   1.1920928955078125E-7    1.1503118058996902E-8    1.1976300113257526E-7    275000.0000000002
50                        2121.5                   -1.4901161193847656E-7   -2.3886294363027668E-9   1.490307553597146E-7     275000
47.80699133392622         2121.5                   5.9604644775390625E-8    0                        5.9604644775390625E-8    275000.00000000023
0                         2121.5                   -4.284083843231201E-8    -9.313225746154785E-10   4.2850960308042694E-8    275000.00000000006
7.1649204917938185        2121.5                   -3.5390257835388184E-8   -1.4901161193847656E-8   3.839941346661803E-8     275000.0000000002
52.090703905064416        2121.5                   -9.5367431640625E-7      1.7881393432617188E-7    9.702933189928356E-7     275000.00000000006
52.09750770922352         2121.5                   5.0067901611328125E-6    7.450580596923828E-9     5.006795704716497E-6     275000
52.00000000000002         2121.5                   -4.76837158203125E-7     -2.055750563208793E-8    4.772800922739659E-7     275000
52.099999999999994        2121.5                   3476630.460415244        -1.490116735983483E-8    3476630.460415244        275000
56.800000000000004        2121.5                   3188951.151030384        43.33273498713953        3188951.1513247956       259335.88099428554
56.88429541506843         2121.5                   0.13362598419189453      43.33273468911648        43.3329407211305         259335.8809832735
56.900000000000006        2121.5                   0.13454914093017578      43.332728281617165       43.33293717023794        259335.88098116868
61.6                      2121.5                   3107683.5349253267       43.89254285395145        3107683.535235293        244137.0000415583
61.68096973827063         2121.5                   0.12987041473388672      43.892540071798535       43.89273220339631        244137.000031267
61.699999999999996        2121.5                   0.13103294372558594      43.89253770286077        43.89273328957079        244137.00002878567
66.4                      2121.5                   0.12175989151000977      43.42309858092515        43.42326929009289        229285.89499316795
66.4961547533905          2121.5                   0.12778747081756592      43.42311594635248        43.42330397526274        229285.89498115398
66.5                      2121.5                   3205053.8672928214       43.42311575969948        3205053.8675869764       229285.8949806622
71.2                      2121.5                   2993521.9786973894       42.838375620636114       2993521.979003906        214726.9575162838
71.21013413762074         2121.5                   0.1202700138092041       42.838375275954604       42.83854410644391        214726.95751506806
71.3                      2121.5                   0.12574449554085732      42.83837639912963        42.83856094912229        214726.95750400983
76                        2121.5                   2947490.6783657074       42.09188674415873        2947490.678666256        200417.15916758607
76.07490530579199         2121.5                   0.122283935546875        42.09188759585778        42.09206522307047        200417.15915858938
76.09999999999998         2121.5                   0.12361264228820801      42.09188601374626        42.09206752203486        200417.159155505
80.79999999999998         2121.5                   0.11636924743652344      41.2267050026804         41.22686923815319        186320.61974957824
80.86992145206783         2121.5                   0.12020301818847656      41.22670294344425        41.22687817859335        186320.61974130708
80.90000000000002         2121.5                   3044946.9899725616       41.22670299615361        3044946.9902516534       186320.61973766785
85.6                      2121.5                   0.11512160301208496      40.310452327132225       40.31061671323672        172407.1148965828
85.6462177972034          2121.5                   0.11748886108398438      40.31045268801785        40.31062390419434        172407.1148912074
85.69999999999997         2121.5                   0.1202540397644043       40.3104522228241         40.31063159319962        172407.1148848146
90.4                      2121.5                   2848617.9954966083       39.37665919816282        2848617.9957687617       158651.4815280624
90.44030931559962         2121.5                   0.1159278154373169       39.37666022707679        39.37683087676106        158651.48152342986
90.5                      2121.5                   0.11883211135864258      39.37665750086582        39.37683680809293        158651.48151642233
95.19999999999997         2121.5                   0.11298775672912598      38.44888654991479        38.44905256519839        145031.82360088144
95.27505421781586         2121.5                   0.11650848388671875      38.44888247549534        38.44905899812465        145031.82359226598
95.29999999999998         2121.5                   2941992.4817043953       38.44888283312331        2941992.4819556396       145031.82358934515
100.02987554249528        2121.5                   0.11356258392333984      37.546013690531254       37.54618543221172        131529.40341748568
100.1                     2121.5                   2917506.293514669        37.54601357877309        2917506.293756263        131529.40340941222
100                       2121.5                   0.1121775209903717       37.54601337062195        37.54618094857502        131529.40342085768
104.8486166900502         2121.5                   0.11359810829162598      36.694005109369755       36.69418094870985        118127.79104271808
104.89999999999996        2121.5                   0.11583941616117954      36.694005105644464       36.69418795209125        118127.79103682342
104.80000000000001        2121.5                   2786674.89487534         36.69400545582019        2786674.8951169276       118127.79104818913
109.60000000000001        2121.5                   0.11085522174835205      35.88913458731315        35.889305793041835       104812.39693573402
109.64831202828537        2121.5                   0.11291801929473877      35.88913460448384        35.88931224108148        104812.39693032874
109.69999999999999        2121.5                   2877131.9909553677       35.88913435671951        2877131.991179207        104812.39692443654
114.4                     2121.5                   0.1103595495223999       35.14760486581776        35.147778123713984       91570.28806455429
114.42437599814318        2121.5                   0.11138286488130689      35.14760529360501        35.14778177947564        91570.28806185217
114.5                     2121.5                   2861302.8265551925       35.147605598903986       2861302.826771065        91570.28805331272
119.2                     2121.5                   2748490.4237634167       34.47567688860017        2748490.4239796395       78389.69646981069
119.28179443625683        2121.5                   0.1131904125213623       34.47567769140005        34.47586350406304        78389.69646068451
119.3                     2121.5                   0.113913893699646        34.47567759733647        34.4758657929089         78389.69645861723
124                       2121.5                   2740063.5116465874       33.87788519725422        2740063.511856019        65259.78882457
124.08170799734901        2121.5                   0.11278820037841797      33.877884704619646       33.878072454578145       65259.78881548399
124.10000000000002        2121.5                   0.11351403594017029      33.87788420729339        33.87807438151015        65259.788813414016
128.8                     2121.5                   0.10935080051422119      33.378945950704          33.3791250690846         52170.388828599105
128.8980047399387         2121.5                   0.11307001113891602      33.37894548006486        33.3791369898708         52170.388817699066
