% Model:              RadialGradingFinal.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 19 2014, 20:25
% Dimension:          2
% Nodes:              181
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
49.7998954221994          500                      0                        0                        0                        274999.9999999999
50                        500                      275691.10487794876       -1.498917112663107E-9    275691.10487794876       275000.00000000006
0                         500                      -2.421438694000244E-8    -4.6566128730773926E-10  2.4218864038485742E-8    275000
11.236474953584969        500                      -2.7939677238464355E-8   -5.587935447692871E-9    2.8492991888482785E-8    275000.0000000003
52.000000000000014        500                      1.2546039356757868E-6    -4092299.4233641624      4092299.4233641624       274999.99999999977
52.099999999999994        500                      3991906.621559143        -5488846.336251199       6786954.587900669        275000
49.64447715104871         500                      1.4901161193847656E-7    7.152557373046875E-7     7.30612914093212E-7      275000
49.40116538820971         500                      -5.960464477539062E-7    -5.587935447692871E-8    5.986600622530355E-7     274999.99999999977
48.72403298950343         500                      3.725290298461914E-7     -1.7881393432617188E-7   4.1322185468262575E-7    274999.99999999977
48.66462200961931         500                      6.556510925292969E-7     -5.364418029785156E-7    8.471411707134184E-7     274999.9999999998
48.64091991450626         500                      -1.1920928955078125E-7   -7.450580596923828E-8    1.4057727354849284E-7    274999.9999999998
47.22251342739436         500                      5.9604644775390625E-8    5.9604644775390625E-8    8.429369702178807E-8     275000
48.48308387635862         500                      1.7881393432617188E-7    -5.9604644775390625E-8   1.884864366154897E-7     274999.9999999999
47.01084267273575         500                      -5.9604644775390625E-8   -1.1175870895385742E-7   1.2665987014770508E-7    275000.0000000001
44.03792613241342         500                      1.2665987014770508E-7    -1.564621925354004E-7    2.013036025480374E-7     275000.0000000003
44.16627014288904         500                      -4.470348358154297E-8    -1.862645149230957E-7    1.9155383307013573E-7    275000.0000000003
43.9192161495251          500                      8.940696716308594E-8     -8.940696716308594E-8    1.2644054553268208E-7    275000.00000000035
39.03349191126638         500                      -1.4901161193847656E-8   1.862645149230957E-9     1.501712528671799E-8     275000.0000000004
